Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
1,400.05,400.05, ,Simplex,FM,PAR1LS,,100.0 Hz,23,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1500 Hz,Off,Off,Off,1,0,0
2,142.2,142.2, ,Simplex,FM,PAR2LP,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,2,0,0
3,141.35,141.35, ,Simplex,FM,PAR3LP,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,3,0,0
4,146.78,146.78, ,Simplex,FM,PAR4LI,,100.0 Hz,23,RN-TN,High (5 W),Off,10 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,4,0,0
5,147.89,147.89, ,Simplex,FM,PAR5MA,,100.0 Hz,23,RN-TN,High (5 W),Off,10 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,5,0,0
6,140.85,140.85, ,Simplex,FM,PAR6VCO,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,6,0,0
7,147.25,147.25, ,Simplex,FM,PARBACCHI,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,7,0,0
8,446.04375,446.04375, ,Simplex,FM,PMR4-44,DCS,100.0 Hz,43,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,8,0,0
9,446.09375,446.09375, ,Simplex,FM,P8-16,,114.8 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,9,0,0
10,161.3,161.3, ,Simplex,FM,SOS-CH,,123.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,10,0,0
11,145.25,145.25, ,Simplex,FM,SOS-IT,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,11,0,0
12,433.3,433.3, ,Simplex,FM,VIP1-10,T Sql,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,12,0,0
13,434.125,434.125, ,Simplex,FM,VIP2-43,T Sql,210.7 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,13,0,0
14,446.08125,446.08125, ,Simplex,FM,PMR7-31,T Sql,192.8 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,14,0,0
15,448.125,448.125, ,Simplex,FM,Pacher,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,15,0,0
16,145.625,145.025,600 kHz,Minus,FM,San Salvatore,Tone,123.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,16,0,0
17,145.7625,145.1625,600 kHz,Minus,FM,Tamaro 1,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,17,0,0
18,145.6,145.0,600 kHz,Minus,FM,Tamaro,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,18,0,0
19,145.6,145.0,600 kHz,Minus,FM,Mendrisio,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,19,0,0
20,145.6,145.0,600 kHz,Minus,FM,Lugano,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,20,0,0
21,145.6,145.0,600 kHz,Minus,FM,Bellinzona,Tone,203.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,21,0,0
22,145.575,144.975,600 kHz,Minus,FM,Biasca,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,22,0,0
23,439.4875,431.9875,7.50 MHz,Minus,FM,Generoso,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,23,0,0
24,438.675,431.075,7.60 MHz,Minus,FM,Mt BAR,Tone,103.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,24,0,0
25,145.7125,145.1125,600 kHz,Minus,FM,Bisbino,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,25,0,0
26,430.1875,431.7875,1.60 MHz,Plus,FM,Bisbino U,Tone,156.7 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,26,0,0
27,145.7375,145.1375,600 kHz,Minus,FM,Campo Fiori V,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,27,0,0
28,431.45,433.05,1.60 MHz,Plus,FM,Campo Fiori U,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,28,0,0
29,431.25,432.85,1.60 MHz,Plus,FM,Penice,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,1600 Hz,Off,Off,On,29,0,0
30,145.6625,145.0625,600 kHz,Minus,FM,ROCCAV,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,30,0,0
31,145.675,145.075,600 kHz,Minus,FM,Beigua,Tone,110.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,31,0,0
32,145.6625,145.0625,600 kHz,Minus,FM,Luino,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,32,0,0
33,430.65,435.65,5.00 MHz,Plus,DN,La Morra,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,33,0,0
34,430.75,435.75,5.00 MHz,Plus,DN,EVE,,100.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,34,0,0
35,145.7625,145.1625,600 kHz,Minus,FM,Vicoforte,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,PVT Channels,300 Hz,Off,Off,On,35,0,0
