Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
1,400.05,400.05, ,Simplex,FM,PAR1LS,,100.0 Hz,23,RN-TN,High (5 W),Off,5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1500 Hz,Off,Off,Off,1,0,0
2,142.2,142.2, ,Simplex,FM,PAR2LP,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,2,0,0
3,141.35,141.35, ,Simplex,FM,PAR3LP,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,3,0,0
4,146.78,146.78, ,Simplex,FM,PAR4LI,,100.0 Hz,23,RN-TN,High (5 W),Off,10 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,4,0,0
5,147.89,147.89, ,Simplex,FM,PAR5MA,,100.0 Hz,23,RN-TN,High (5 W),Off,10 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,5,0,0
6,140.85,140.85, ,Simplex,FM,PAR6VCO,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,On,6,0,0
7,147.25,147.25, ,Simplex,FM,PARBACCHI,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,On,7,0,0
8,446.04375,446.04375, ,Simplex,FM,PMR4-44,DCS,100.0 Hz,43,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,8,0,0
9,446.09375,446.09375, ,Simplex,FM,P8-16,,114.8 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,9,0,0
10,161.3,161.3, ,Simplex,FM,SOS-CH,,123.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,10,0,0
11,145.25,145.25, ,Simplex,FM,SOS-IT,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,11,0,0
